confidence,id,metadata,source_id,target_id,type
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 42}",Linux,"href=""https://cloud.google.com",related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 30}",Windows,"href=""https://cloud.google.com",related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 2}",Hypertext Preprocessor,PHP,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 2}",end_char=11131,confidence=1.0,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 28}","href=""https://cloud.google.com",Preprocessor',related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 2}",end_char=12304,confidence=1.0,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 92}",end_char=12304,PHP,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 76}",confidence=1.0,PHP,related_to
0.8,,"{""extraction_method"": ""dependency"", ""dependency_path"": ""ROOT -> ... -> pobj""}",Mimikatz,recent years,use
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 82}",Mimikatz,PowerShell Empire,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 72}",Local Area Network,Windows XP,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 84}",Local Area Network,2003,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 2}",Windows XP,2003,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 40}",Mimikatz,PowerShell,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 21}",Invoke-Mimikatz,Mimikatz,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 5}",several years,2011,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 87}",DigiNotar,a month,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 44}",a month,Mimikatz,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 59}",Mimikatz,NotPetya,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 72}",Mimikatz,BadRabbit,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 5}",NotPetya,BadRabbit,related_to
